epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.36,0.99262,1.21273,1.38099,0.48989,0.44986,0.4432,0.25847,1.53077,4.46952,2.13347,0.000663492,0.000663492,0.000663492
2,245.235,1.18464,1.33455,1.51603,0.70134,0.59184,0.63531,0.40518,1.30596,1.81648,1.81343,0.00130382,0.00130382,0.00130382
3,365.799,1.11019,1.23221,1.43819,0.79716,0.65041,0.72109,0.50821,1.16444,1.23845,1.61158,0.00191775,0.00191775,0.00191775
4,485.935,1.04053,1.12297,1.38866,0.86124,0.70646,0.78809,0.58084,1.03961,1.13259,1.51659,0.0018812,0.0018812,0.0018812
5,603.334,0.97597,1.00858,1.33528,0.88751,0.76423,0.82349,0.641,0.87709,0.91279,1.30962,0.0018416,0.0018416,0.0018416
6,720.675,0.91605,0.94456,1.30038,0.88468,0.74847,0.82864,0.64562,0.86105,0.85074,1.27698,0.001802,0.001802,0.001802
7,843.88,0.89279,0.89543,1.28408,0.88675,0.77778,0.84628,0.64985,0.86671,0.78662,1.2787,0.0017624,0.0017624,0.0017624
8,963.254,0.84714,0.80937,1.24394,0.87153,0.82927,0.86984,0.66375,0.82468,0.7487,1.24826,0.0017228,0.0017228,0.0017228
9,1084.12,0.81658,0.78125,1.21463,0.94839,0.8103,0.90916,0.72948,0.75804,0.6106,1.16692,0.0016832,0.0016832,0.0016832
10,1208.23,0.79456,0.74596,1.19944,0.91587,0.82605,0.90537,0.71304,0.74017,0.60295,1.17236,0.0016436,0.0016436,0.0016436
11,1330.36,0.78576,0.73853,1.19893,0.91529,0.84922,0.92819,0.73054,0.75185,0.59538,1.16732,0.001604,0.001604,0.001604
12,1452.75,0.76195,0.6808,1.17971,0.86556,0.87239,0.92595,0.75933,0.69943,0.53748,1.1275,0.0015644,0.0015644,0.0015644
13,1574.22,0.73402,0.67653,1.1595,0.94741,0.83001,0.92719,0.73884,0.73818,0.54209,1.15122,0.0015248,0.0015248,0.0015248
14,1695.93,0.72292,0.64755,1.15251,0.92133,0.88076,0.94276,0.7745,0.66949,0.50599,1.08023,0.0014852,0.0014852,0.0014852
15,1818.24,0.69922,0.61516,1.1394,0.91098,0.8645,0.93019,0.75924,0.68541,0.53589,1.10156,0.0014456,0.0014456,0.0014456
16,1936.45,0.70575,0.6298,1.14657,0.92982,0.87805,0.93503,0.77215,0.66927,0.49034,1.09535,0.001406,0.001406,0.001406
17,2053.62,0.69388,0.60197,1.12491,0.9541,0.88347,0.96364,0.78722,0.6427,0.44025,1.06247,0.0013664,0.0013664,0.0013664
18,2180.55,0.67293,0.58084,1.12443,0.91697,0.87805,0.9462,0.77896,0.66066,0.47103,1.08812,0.0013268,0.0013268,0.0013268
19,2302.55,0.67389,0.5722,1.11523,0.93222,0.89453,0.95172,0.78637,0.67556,0.46507,1.09051,0.0012872,0.0012872,0.0012872
20,2424.3,0.65827,0.55893,1.1118,0.92821,0.87602,0.95065,0.79629,0.63976,0.46052,1.06341,0.0012476,0.0012476,0.0012476
21,2546.07,0.66242,0.55734,1.11188,0.93313,0.90761,0.9641,0.79562,0.64082,0.43529,1.06373,0.001208,0.001208,0.001208
22,2668.29,0.63698,0.53445,1.09116,0.94648,0.8916,0.96136,0.81622,0.58636,0.41835,1.01294,0.0011684,0.0011684,0.0011684
23,2788.94,0.64021,0.52669,1.09612,0.93217,0.93496,0.96347,0.81029,0.62267,0.40406,1.05473,0.0011288,0.0011288,0.0011288
24,2905.17,0.63952,0.52339,1.09732,0.925,0.91599,0.9604,0.79276,0.64688,0.43295,1.05994,0.0010892,0.0010892,0.0010892
25,3022.87,0.6181,0.56506,1.07589,0.93575,0.94733,0.96721,0.82042,0.60454,0.39978,1.02911,0.0010496,0.0010496,0.0010496
26,3144.94,0.61547,0.501,1.07845,0.95276,0.92917,0.97092,0.82738,0.58051,0.4,1.02003,0.00101,0.00101,0.00101
27,3266.66,0.59748,0.48386,1.07266,0.94468,0.92553,0.97407,0.83809,0.57612,0.36605,1.00738,0.0009704,0.0009704,0.0009704
28,3388.26,0.58716,0.47698,1.06292,0.96368,0.92141,0.96983,0.84395,0.56667,0.36808,1.00529,0.0009308,0.0009308,0.0009308
29,3511.01,0.58881,0.47048,1.0676,0.92011,0.93496,0.97075,0.83434,0.57562,0.37905,1.01923,0.0008912,0.0008912,0.0008912
30,3633.18,0.57379,0.45492,1.05018,0.94077,0.93767,0.96953,0.83875,0.55754,0.36388,0.99334,0.0008516,0.0008516,0.0008516
31,3754.51,0.56861,0.45296,1.05002,0.93707,0.92818,0.97083,0.83266,0.58044,0.37627,1.01819,0.000812,0.000812,0.000812
32,3877.49,0.56972,0.44804,1.04996,0.92016,0.96748,0.97294,0.82918,0.5719,0.36263,1.00581,0.0007724,0.0007724,0.0007724
33,3999.67,0.55386,0.4324,1.04434,0.96655,0.93962,0.97384,0.84242,0.55293,0.34737,0.99536,0.0007328,0.0007328,0.0007328
34,4122.45,0.54891,0.4283,1.04267,0.93464,0.95664,0.97661,0.84956,0.55134,0.34364,0.9899,0.0006932,0.0006932,0.0006932
35,4242.76,0.53918,0.41755,1.0347,0.95586,0.94309,0.96916,0.84844,0.54721,0.3511,0.9753,0.0006536,0.0006536,0.0006536
36,4365.95,0.52648,0.45209,1.02197,0.95735,0.95664,0.97618,0.85034,0.54648,0.34414,0.98184,0.000614,0.000614,0.000614
37,4490.29,0.52672,0.40706,1.03221,0.96669,0.93496,0.97316,0.85034,0.5462,0.34816,0.9899,0.0005744,0.0005744,0.0005744
38,4611.54,0.5172,0.39108,1.02253,0.93768,0.97019,0.97629,0.85164,0.53897,0.33926,0.97821,0.0005348,0.0005348,0.0005348
39,4734.05,0.52476,0.39682,1.0301,0.91061,0.96621,0.97241,0.84419,0.54152,0.34298,0.98769,0.0004952,0.0004952,0.0004952
40,4851.75,0.5057,0.39233,1.01956,0.95898,0.95664,0.98248,0.85651,0.54378,0.32261,0.99379,0.0004556,0.0004556,0.0004556
41,4977.67,0.42806,0.29802,0.97803,0.94489,0.95393,0.97485,0.84902,0.54464,0.34589,0.98679,0.000416,0.000416,0.000416
42,5093.62,0.41989,0.28087,0.96722,0.95674,0.94038,0.97324,0.85,0.55883,0.34991,1.00496,0.0003764,0.0003764,0.0003764
43,5210.46,0.41083,0.28874,0.97562,0.94848,0.94803,0.9725,0.85554,0.52512,0.34052,0.9716,0.0003368,0.0003368,0.0003368
44,5326.88,0.38313,0.25987,0.94372,0.95449,0.95393,0.97709,0.86134,0.5185,0.31642,0.97107,0.0002972,0.0002972,0.0002972
45,5449.76,0.37379,0.24375,0.93239,0.95514,0.96477,0.97895,0.85861,0.54207,0.31551,0.99806,0.0002576,0.0002576,0.0002576
46,5570.58,0.35873,0.23676,0.92663,0.95134,0.95664,0.97225,0.85537,0.5291,0.31218,0.99389,0.000218,0.000218,0.000218
47,5686.76,0.34744,0.22864,0.91979,0.95446,0.95664,0.97789,0.86674,0.52277,0.30727,0.99041,0.0001784,0.0001784,0.0001784
48,5807.92,0.34063,0.22566,0.91717,0.96235,0.95122,0.97563,0.86083,0.5198,0.3075,0.98398,0.0001388,0.0001388,0.0001388
49,5925,0.33622,0.21554,0.91164,0.95956,0.96466,0.97818,0.86663,0.52044,0.30193,0.98464,9.92e-05,9.92e-05,9.92e-05
50,6046.09,0.32903,0.22936,0.91285,0.95914,0.95422,0.97528,0.87067,0.50519,0.30973,0.97342,5.96e-05,5.96e-05,5.96e-05
